license_number,provider_name,doing_business_as,license_type,status,address,city,state,zip,county
,,,Certified Child Care Center,Active,,Brooklyn Center,MN,55430-2614,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55430-2486,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-0000,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55430-3216,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55430-0000,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55430-4535,Hennepin
,,,Family Child Care,Active,,Brooklyn Center,MN,55430-2738,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55430-2485,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55430-2943,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-1132,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-2307,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55430-1148,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55430-2686,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-1146,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-1141,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-3028,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-1137,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-1022,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-2028,Hennepin
,,,Home and Community Based Services,Closed as of 11/17/2025,,Brooklyn Center,MN,55430-3111,Hennepin
,,,Family Child Care,Active,,Brooklyn Center,MN,55430,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55430-2346,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55430-3534,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55430-2207,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-2721,Hennepin
,,,Adult Day Care Services,Active,,Brooklyn Center,MN,55430-2957,Hennepin
,,,Child Care Center,Active,,Brooklyn Center,MN,55430-2506,Hennepin
,,,Substance Use Disorder Treatment,Active,,Brooklyn Center,MN,55430-2492,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55430-2941,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-1836,Hennepin
,,,Home and Community Based Services - Residential Services Facility,Active,,Brooklyn Center,MN,55430-3201,Hennepin
,,,Home and Community Based Services - Residential Services Facility,Active,,Minneapolis,MN,55430-1618,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55430-3363,Hennepin
,,,Family Child Care,Active,,Minneapolis,MN,55430-3321,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-1148,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-1001,Hennepin
,,,Family Child Care,Active,,Brooklyn Center,MN,55430-1824,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55430-2485,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55430-1402,Hennepin
,,,Child Care Center,Active,,Brooklyn Central,MN,55430,Hennepin
,,,Family Child Care,Active,,Brooklyn Center,MN,55430-1808,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-2631,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55430-2384,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-2311,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-1839,Hennepin
,,,Family Child Care,Active,,Brooklyn Center,MN,55430-1106,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-3066,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-2303,Hennepin
,,,Home and Community Based Services - Day Services Facility,Active,,Brooklyn Center,MN,55430-2331,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55430-2352,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-1060,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55430-3427,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55430-2181,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55430-6604,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55430-2333,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Brooklyn Center,MN,55430-3164,Hennepin
,,,Home and Community Based Services,Active,,Brooklyn Center,MN,55430-2155,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55431-2017,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55431-2854,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55431-4420,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55431-1220,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55431-3529,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55431-1007,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55431-3725,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55431-2135,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55431-3214,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55431-3851,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55431-3125,Hennepin
,,,Adult Day Care Services,Active,,Bloomington,MN,55431-3856,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55431-3250,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55431-1756,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55431-3131,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55431-1742,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55431-3334,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55431-7135,Hennepin
,,,Certified Child Care Center,Active,,Minneapolis,MN,55431,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55431-2407,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55431-0000,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55431-2212,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55431-3960,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55431-1351,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55431-2518,Hennepin
,,,Child Care Center,Active,,Bloomington,MN,55431-2120,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55431-2906,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55431-2638,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55431-2847,Hennepin
,,,Certified Child Care Center,Active,,Bloomington,MN,55431-2471,Hennepin
,,,Certified Child Care Center,Active,,Bloomington,MN,55431-3163,Hennepin
,,,Certified Child Care Center,Pending Reopening as of 08/23/2022,,Bloomington,MN,55431-1631,Hennepin
,,,Certified Child Care Center,Active,,Bloomington,MN,55431-3605,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55431-2921,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55431-3618,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55431-3247,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55431-2117,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55431-3937,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55431-1064,Hennepin
,,,Child Care Center,Active,,Bloomington,MN,55431-1863,Hennepin
,,,Child Care Center,Active,,Bloomington,MN,55431-3025,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55431-2068,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55431-1325,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55431-1760,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55431-2223,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55431-3112,Hennepin
,,,Child Foster Residence Setting,Active,,Bloomington,MN,55431,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55431-4140,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55431-4429,Hennepin
,,,Home and Community Based Services,Active,,Bloomington,MN,55431-3157,Hennepin
,,,Child Care Center,Active,,Bloomington,MN,55431-1908,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55431-1619,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55431-2053,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55431-3459,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55431-3443,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55431-2306,Hennepin
,,,Child Care Center,Active,,Minneapolis,MN,55431-1519,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55431-4015,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55431-4154,Hennepin
,,,Family Child Care,Active,,Bloomington,MN,55431-2752,Hennepin
,,,Home and Community Based Services - Community Residential Setting,Active,,Bloomington,MN,55431-2207,Hennepin
,,,Family Child Care,Active,,Fridley,MN,55432-4655,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-3581,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-3110,Anoka
,,,Substance Use Disorder Treatment,Active,,Fridley,MN,55432-1860,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-5134,Anoka
,,,Child Care Center,Active,,Fridley,MN,55432-5815,Anoka
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55432-2718,Anoka
,,,Substance Use Disorder Treatment,Active,,Fridley,MN,55432-2718,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-3542,Anoka
,,,Family Child Care,Active,,Fridley,MN,55432-3210,Anoka
,,,Adult Foster Care,Active,,Fridley,MN,55432-3056,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Spring Lake Park,MN,55432-1963,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-2838,Anoka
,,,Family Child Care,Active,,Fridley,MN,55432-3243,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-5558,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-5171,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-4112,Anoka
,,,Child Care Center,Active,,Fridley,MN,55432-4318,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-3218,Anoka
,,,Home and Community Based Services,Denied as of 07/29/2025,,Spring Lake Park,MN,55432-2040,Anoka
,,,Certified Child Care Center,Active,,Spring Lake Park,MN,55432-2111,Anoka
,,,Family Child Care,Active,,Spring Lake Park,MN,55432-1210,Anoka
,,,Child Care Center,Active,,Fridley,MN,55432,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-3602,Anoka
,,,Substance Use Disorder Treatment,Revoked: Subject to Appeal as of 11/07/2025,,Spring Lake Park,MN,55432-2832,Anoka
,,,Certified Child Care Center,Active,,Fridley,MN,55432-5534,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-4351,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-5176,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-3142,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-3641,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-5525,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-5018,Anoka
,,,Certified Child Care Center,Active,,Fridley,MN,55432-5764,Anoka
,,,Certified Child Care Center,Active,,Spring Lake Park,MN,55432,Anoka
,,,Certified Child Care Center,Active,,Fridley,MN,55432-2833,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-5543,Anoka
,,,Home and Community Based Services,Active,,Minneapolis,MN,55432,Hennepin
,,,Home and Community Based Services,Active,,Minneapolis,MN,55432-3056,Anoka
,,,Family Child Care,Active,,Fridley,MN,55432-4324,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-5177,Anoka
,,,Family Child Care,Active,,Fridley,MN,55432-5829,Anoka
,,,Family Child Care,Active,,Fridley,MN,55432-3615,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-1716,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-5561,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Spring Lake Park,MN,55432-1951,Anoka
,,,Family Child Care,Closed as of 08/30/2025,,Fridley,MN,55432-3639,Anoka
,,,Substance Use Disorder Treatment,Active,,Fridley,MN,55432-0000,Anoka
,,,Home and Community Based Services,Active,,Spring Lake Park,MN,55432-1141,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-3264,Anoka
,,,Family Child Care,Active,,Spring Lake Park,MN,55432-2166,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-5136,Anoka
,,,Family Child Care,Active,,Fridley,MN,55432-5627,Anoka
,,,Family Child Care,Active,,Spring Lake Park,MN,55432-1810,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-5531,Anoka
,,,Family Child Care,Active,,Fridley,MN,55432-2291,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-3151,Anoka
,,,Home and Community Based Services - Day Services Facility,Active,,Fridley,MN,55432-2896,Anoka
,,,Adult Foster Care,Active,,Fridley,MN,55432-3051,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-4232,Anoka
,,,Child Care Center,Active,,Minneapolis,MN,55432-4422,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Spring Lake Park,MN,55432-1212,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-5533,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-5458,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-5544,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-1766,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-5625,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-5556,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Spring Lake Park,MN,55432-2809,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-5756,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-5713,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-1633,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-5844,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-4540,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Fridley,MN,55432-1642,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-4303,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-5962,Anoka
,,,Family Child Care,Active,,Spring Lake Park,MN,55432-1941,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-5135,Anoka
,,,Family Child Care,Active,,Spring Lake Park,MN,55432-2188,Anoka
,,,Child Care Center,Active,,Fridley,MN,55432-2400,Anoka
,,,Intensive Residential Treatment Services and Residential Crisis Stabilization,Active,,Fridley,MN,55432-5128,Anoka
,,,Substance Use Disorder Treatment,Active,,Fridley,MN,55432-3258,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-2517,Anoka
,,,Family Child Care,Active,,Fridley,MN,55432-1644,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-5380,Anoka
,,,Home and Community Based Services,Active,,Fridley,MN,55432-3150,Anoka
,,,Family Child Care,Active,,Fridley,MN,55432-4610,Anoka
,,,Family Child Care,Active,,Spring Lake Park,MN,55432-1927,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Coon Rapids,MN,55433-3942,Anoka
,,,Adult Day Care Services,Revocation Order Issued/Under Appeal/May Operate as of 11/13/2025,,Coon Rapids,MN,55433-5852,Anoka
,,,Certified Child Care Center,Active,,Coon Rapids,MN,55433-5723,Anoka
,,,Certified Child Care Center,Active,,Coon Rapids,MN,55433-4221,Anoka
,,,Certified Child Care Center,Active,,Coon Rapids,MN,55433-4156,Anoka
,,,Certified Child Care Center,Active,,Coon Rapids,MN,55433-3800,Anoka
,,,Certified Child Care Center,Active,,Coon Rapids,MN,55433-1735,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Coon Rapids,MN,55433-6513,Anoka
,,,Home and Community Based Services,Active,,Coon Rapids,MN,55433-5002,Anoka
,,,Home and Community Based Services,Closed as of 12/10/2025,,Coon Rapids,MN,55433-2830,Anoka
,,,Child Care Center,Active,,Coon Rapids,MN,55433-2821,Anoka
,,,Child Care Center,Active,,Coon Rapids,MN,55433-4131,Anoka
,,,Child Care Center,Active,,Coon Rapids,MN,55433,Anoka
,,,Home and Community Based Services,Active,,Coon Rapids,MN,55433-5865,Anoka
,,,Child Care Center,Active,,Coon Rapids,MN,55433-5204,Anoka
,,,Family Child Care,Active,,Coon Rapids,MN,55433-3653,Anoka
,,,Family Child Care,Active,,Coon Rapids,MN,55433-2721,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Coon Rapids,MN,55433-0000,Anoka
,,,Child Care Center,Active,,Minneapolis,MN,55433-4142,Anoka
,,,Child Care Center,Active,,Coon Rapids,MN,55433-6041,Anoka
,,,Family Child Care,Active,,Coon Rapids,MN,55433-5632,Anoka
,,,Family Child Care,Active,,Coon Rapids,MN,55433-4546,Anoka
,,,Mental Health Clinic,Pending Reopening as of 12/01/2025,,Coon Rapids,MN,55433-2597,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Coon Rapids,MN,55433-6763,Anoka
,,,Adult Foster Care,Active,,Coon Rapids,MN,55433-2976,Anoka
,,,Child Care Center,Active,,Minneapolis,MN,55433-5537,Anoka
,,,Home and Community Based Services,Active,,Coon Rapids,MN,55433-4160,Anoka
,,,Family Child Care,Active,,Coon Rapids,MN,55433-4031,Anoka
,,,Family Child Care,Active,,Coon Rapids,MN,55433-3537,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Coon Rapids,MN,55433-4126,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Minneapolis,MN,55433-5610,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Coon Rapids,MN,55433-3865,Anoka
,,,Home and Community Based Services,Active,,Coon Rapids,MN,55433-4173,Anoka
,,,Family Child Care,Active,,Coon Rapids,MN,55433-1809,Anoka
,,,Family Child Care,Active,,Coon Rapids,MN,55433-1648,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Coon Rapids,MN,55433-3814,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Coon Rapids,MN,55433-4009,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Coon Rapids,MN,55433-4111,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Coon Rapids,MN,55433-3936,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Coon Rapids,MN,55433-3875,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Coon Rapids,MN,55433-4661,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Coon Rapids,MN,55433-5492,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Coon Rapids,MN,55433-5905,Anoka
,,,Home and Community Based Services,Active,,Coon Rapids,MN,55433-4799,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Coon Rapids,MN,55433-5407,Anoka
,,,Home and Community Based Services - Day Services Facility,Active,,Coon Rapids,MN,55433-5861,Anoka
,,,Home and Community Based Services,Active,,Coon Rapids,MN,55433-2997,Anoka
,,,Home and Community Based Services,Closed as of 09/19/2025,,Coon Rapids,MN,55433-4013,Anoka
,,,Family Child Care,Active,,Coon Rapids,MN,55433-2725,Anoka
,,,Family Child Care,Active,,Coon Rapids,MN,55433-3838,Anoka
,,,Home and Community Based Services - Community Residential Setting,Conditional as of 04/23/2025,,Coon Rapids,MN,55433-5004,Anoka
,,,Family Child Care,Revoked as of 02/17/2023,,Coon Rapids,MN,55433-4861,Anoka
,,,Substance Use Disorder Treatment,Active,,Minneapolis,MN,55433-0000,Anoka
,,,Home and Community Based Services - Day Services Facility,Active,,Coon Rapids,MN,55433-4041,Anoka
,,,Adult Foster Care,Active,,Coon Rapids,MN,55433-2612,Anoka
,,,Family Child Care,Active,,Coon Rapids,MN,55433-1688,Anoka
,,,Home and Community Based Services,Active,,Coon Rapids,MN,55433-5870,Anoka
,,,Home and Community Based Services,Active,,Coon Rapids,MN,55433-3978,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Coon Rapids,MN,55433-1773,Anoka
,,,Adult Day Care Services,Active,,Minneapolis,MN,55433-3487,Anoka
,,,Home and Community Based Services - Day Services Facility,Active,,Coon Rapids,MN,55433-5848,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Coon Rapids,MN,55433-5142,Anoka
,,,Family Child Care,Active,,Coon Rapids,MN,55433-6342,Anoka
,,,Home and Community Based Services,Active,,Coon Rapids,MN,55433-5832,Anoka
,,,Family Child Care,Active,,Coon Rapids,MN,55433-4985,Anoka
,,,Family Child Care,Active,,Coon Rapids,MN,55433-1680,Anoka
,,,Child Foster Residence Setting,Active,,Coon Rapids,MN,55433-2933,Anoka
,,,Child Care Center,Active,,Coon Rapids,MN,55433-5537,Anoka
,,,Home and Community Based Services,Active,,Minneapolis,MN,55433-4235,Anoka
,,,Mental Health Clinic,Active,,Coon Rapids,MN,55433-0001,Anoka
,,,Family Child Care,Active,,Coon Rapids,MN,55433-4638,Anoka
,,,Substance Use Disorder Treatment,Active,,Coon Rapids,MN,55433-3662,Anoka
,,,Home and Community Based Services,Active,,Coon Rapids,MN,55433-3646,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Coon Rapids,MN,55433-2769,Anoka
,,,Family Child Care,Denied as of 03/12/2025,,Coon Rapids,MN,55433-4284,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Coon Rapids,MN,55433-6776,Anoka
,,,Certified Child Care Center,Active,,Minneapolis,MN,55433-5848,Anoka
,,,Family Child Care,Active,,Coon Rapids,MN,55433-2950,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Blaine,MN,55434-1110,Anoka
,,,Home and Community Based Services,Active,,Minneapolis,MN,55434-3371,Anoka
,,,Home and Community Based Services - Day Services Facility,Active,,Blaine,MN,55434-3371,Anoka
,,,Certified Child Care Center,Active,,Blaine,MN,55434-1802,Anoka
,,,Certified Child Care Center,Active,,Blaine,MN,55434-3141,Anoka
,,,Certified Child Care Center,Active,,Blaine,MN,55434-2637,Anoka
,,,Certified Child Care Center,Active,,Blaine,MN,55434-8012,Anoka
,,,Family Child Care,Closed as of 08/18/2025,,Blaine,MN,55434-3226,Anoka
,,,Home and Community Based Services,Active,,Blaine,MN,55434-1982,Anoka
,,,Children's Residential Facilities,Active,,Blaine,MN,55434-3925,Anoka
,,,Substance Use Disorder Treatment,Active,,Blaine,MN,55434,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-2644,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Blaine,MN,55434-2380,Anoka
,,,Home and Community Based Services,Active,,Blaine,MN,55434-4532,Anoka
,,,Adult Foster Care,Active,,Blaine,MN,55434-4511,Anoka
,,,Child Foster Residence Setting,Closed as of 10/15/2025,,Blaine,MN,55434-1163,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Blaine,MN,55434-2717,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Blaine,MN,55434-3745,Anoka
,,,Adult Foster Care,Active,,Blaine,MN,55434-2616,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-1856,Anoka
,,,Home and Community Based Services,Active,,Blaine,MN,55434-5503,Anoka
,,,Adult Foster Care,Active,,Blaine,MN,55434-4533,Anoka
,,,Child Care Center,Active,,Blaine,MN,55434-8013,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-7348,Anoka
,,,Home and Community Based Services,Active,,Blaine,MN,55434-1405,Anoka
,,,Family Child Care,Conditional as of 04/29/2025,,Blaine,MN,55434-3522,Anoka
,,,Home and Community Based Services,Active,,Blaine,MN,55434-1894,Anoka
,,,Home and Community Based Services,Active,,Blaine,MN,55434-4524,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Blaine,MN,55434-2801,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-2408,Anoka
,,,Home and Community Based Services,Active,,Blaine,MN,55434-2949,Anoka
,,,Adult Foster Care,Active,,Blaine,MN,55434-3180,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-3234,Anoka
,,,Home and Community Based Services,Active,,Blaine,MN,55434-3379,Anoka
,,,Child Care Center,Active,,Blaine,MN,55434-4180,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-3749,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-2677,Anoka
,,,Child Care Center,Active,,Blaine,MN,55434-1616,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-1777,Anoka
,,,Home and Community Based Services,Active,,Blaine,MN,55434-8026,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Blaine,MN,55434-1657,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-4026,Anoka
,,,Home and Community Based Services,Active,,Blaine,MN,55434-4547,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Blaine,MN,55434-3519,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Blaine,MN,55434-1312,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-4007,Anoka
,,,Child Care Center,Active,,Minneapolis,MN,55434-3931,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-2906,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-4014,Anoka
,,,Adult Foster Care,Active,,Blaine,MN,55434-1607,Anoka
,,,Home and Community Based Services,Active,,Minneapolis,MN,55434-3250,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-3059,Anoka
,,,Family Child Care,Closed as of 09/26/2025,,Blaine,MN,55434-2352,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-1884,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-3231,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-4076,Anoka
,,,Family Child Care,Active,,Blaine,MN,55434-3172,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Blaine,MN,55434-3021,Anoka
,,,Home and Community Based Services - Community Residential Setting,Active,,Blaine,MN,55434-2655,Anoka
